Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
EXXI,Energy XXI Gulf Coast; Inc.,8.84,293677414.7,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/exxi
ENG,ENGlobal Corporation,0.8397,23103148.09,n/a,n/a,Consumer Services,Military/Government/Technical,http://www.nasdaq.com/symbol/eng
ENPH,Enphase Energy; Inc.,1.97,168499062.4,n/a,2012,Technology,Semiconductors,http://www.nasdaq.com/symbol/enph
ESGR,Enstar Group Limited,219.7,4267904064,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/esgr
ENFC,Entegra Financial Corp.,26.75,183335913.3,n/a,2014,Finance,Banks,http://www.nasdaq.com/symbol/enfc
ENTG,Entegris; Inc.,31.55,4461066926,n/a,2000,Consumer Non-Durables,Plastic Products,http://www.nasdaq.com/symbol/entg
ENTL,Entellus Medical; Inc.,15.89,404129130.6,n/a,2015,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/entl
EBTC,Enterprise Bancorp Inc,34,394375044,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ebtc
EFSC,Enterprise Financial Services Corporation,42.225,973913291.3,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/efsc
ENZY          ,Enzymotec Ltd.,11.775,275865865.7,n/a,2013,Consumer Durables,Specialty Chemicals,http://www.nasdaq.com/symbol/enzy
EPZM,Epizyme; Inc.,14.25,987277449,n/a,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/epzm
PLUS,ePlus inc.,76.2,1079865633,n/a,1996,Technology,Retail: Computer Software & Peripheral Equipment,http://www.nasdaq.com/symbol/plus
EQIX,Equinix; Inc.,482.18,37722724019,n/a,2000,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/eqix
EQFN,Equitable Financial Corp.,10.3,34699999.6,n/a,2015,Finance,Savings Institutions,http://www.nasdaq.com/symbol/eqfn
EQBK,Equity Bancshares; Inc.,33.15,404639474.9,n/a,2015,Finance,Major Banks,http://www.nasdaq.com/symbol/eqbk
ERIC,Ericsson,6.015,1870907386,311040297,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/eric
ERIE,Erie Indemnity Company,122.93,6427993473,n/a,n/a,Finance,Specialty Insurers,http://www.nasdaq.com/symbol/erie
ERYP,Erytech Pharma S.A.,24.65,289468598.2,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/eryp
ESCA,Escalade; Incorporated,13,186817618,n/a,n/a,Consumer Non-Durables,Recreational Products/Toys,http://www.nasdaq.com/symbol/esca
ESPR,Esperion Therapeutics; Inc.,48.5,1095768357,n/a,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/espr
ESQ,Esquire Financial Holdings; Inc.,16.75,122482867.5,n/a,2017,Finance,Commercial Banks,http://www.nasdaq.com/symbol/esq
ESSA,ESSA Bancorp; Inc.,15.79,183096797.8,n/a,n/a,Finance,Banks,http://www.nasdaq.com/symbol/essa
EPIX,ESSA Pharma Inc.,0.27,7857510.03,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/epix
ESND,Essendant Inc.,9.02,339258463.1,n/a,n/a,Consumer Services,Paper,http://www.nasdaq.com/symbol/esnd
ITEQ,ETF Managers Trust BlueStar TA-BIGITech Israel Technology ETF,31.22,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/iteq
ETSY,Etsy; Inc.,16.715,1976672892,n/a,2015,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/etsy
CLWT,Euro Tech Holdings Company Limited,3.6,7422872.4,n/a,1997,Consumer Durables,Diversified Electronic Products,http://www.nasdaq.com/symbol/clwt
EEFT,Euronet Worldwide; Inc.,90.74,4780277025,n/a,1997,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/eeft
ESEA,Euroseas Ltd.,1.92,21453803.52,n/a,n/a,Transportation,Marine Transportation,http://www.nasdaq.com/symbol/esea
EVEP,EV Energy Partners; L.P.,0.8123,40102332.29,n/a,2006,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/evep
EVBG,Everbridge; Inc.,28.03,787511090.8,n/a,2016,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/evbg
EVK,Ever-Glory International Group; Inc.,2.15,31804597.4,n/a,n/a,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/evk
MRAM,Everspin Technologies; Inc.,9.15,115970677.7,n/a,2016,Technology,Semiconductors,http://www.nasdaq.com/symbol/mram
EVLV,EVINE Live Inc.,1.14,74356110.12,n/a,n/a,Consumer Services,Catalog/Specialty Distribution,http://www.nasdaq.com/symbol/evlv
EVGN,Evogene Ltd.,3.7,95274885.3,n/a,n/a,Basic Industries,Agricultural Chemicals,http://www.nasdaq.com/symbol/evgn
EVOK,Evoke Pharma; Inc.,2.7801,42781082.33,n/a,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/evok
EVOL,Evolving Systems; Inc.,4.15,51972832.1,n/a,1998,Technology,EDP Services,http://www.nasdaq.com/symbol/evol
EXA,Exa Corporation,24.23,365105296.7,n/a,2012,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/exa
EXAS,Exact Sciences Corporation,60.37,7228124308,n/a,2001,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/exas
EXAC,Exactech; Inc.,41.8,607341878,n/a,1996,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/exac
XELA,Exela Technologies; Inc.,5.4,793317499.2,n/a,2015,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/xela
EXEL,Exelixis; Inc.,25.85,7647805479,n/a,2000,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/exel
EXFO,EXFO Inc,4.3,99864902.8,n/a,n/a,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/exfo
EXLS,ExlService Holdings; Inc.,61.3,2080704306,n/a,2006,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/exls
EXPE,Expedia; Inc.,120.72,18409196641,n/a,n/a,Consumer Services,Transportation Services,http://www.nasdaq.com/symbol/expe
EXPD,Expeditors International of Washington; Inc.,59.85,10635515573,n/a,n/a,Transportation,Oil Refining/Marketing,http://www.nasdaq.com/symbol/expd
EXPO,Exponent; Inc.,71,1831331258,n/a,n/a,Consumer Services,Professional Services,http://www.nasdaq.com/symbol/expo
ESRX,Express Scripts Holding Company,60.05,34010698650,n/a,1992,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/esrx
XOG,Extraction Oil & Gas; Inc.,15.945,2737265713,n/a,2016,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/xog
EXTR,Extreme Networks; Inc.,11.23,1269914105,n/a,1999,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/extr
EYEG,Eyegate Pharmaceuticals; Inc.,1.1342,19513659.21,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/eyeg
EYEGW,Eyegate Pharmaceuticals; Inc.,0.1045,0,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/eyegw
EZPW,EZCORP; Inc.,9.875,536180435.9,n/a,1991,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/ezpw
FFIV,F5 Networks; Inc.,119.72,7493696454,n/a,1999,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/ffiv
FB,Facebook; Inc.,178.46,5.19E+11,n/a,2012,Technology,Computer Software: Programming; Data Processing,http://www.nasdaq.com/symbol/fb
DAVE,Famous Dave&#39;s of America; Inc.,3.6827,25622856.64,n/a,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/dave
FANH,Fanhua Inc.,17.7,646903918.8,36548244,n/a,Finance,Specialty Insurers,http://www.nasdaq.com/symbol/fanh
FARM,Farmer Brothers Company,31.675,533510577.3,n/a,n/a,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/farm
FMAO,Farmers & Merchants Bancorp; Inc.,35.64,330264332.6,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/fmao
FFKT,Farmers Capital Bank Corporation,39.25,294997073.3,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ffkt
FMNB,Farmers National Banc Corp.,13.65,375975600,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fmnb
FARO,FARO Technologies; Inc.,53,885691056,n/a,1997,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/faro
FAST,Fastenal Company,47.58,13674033995,n/a,1987,Consumer Services,RETAIL: Building Materials,http://www.nasdaq.com/symbol/fast
FAT,FAT Brands Inc.,9.48,94800000,n/a,2017,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/fat
FATE,Fate Therapeutics; Inc.,4.42,184250771.9,n/a,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/fate
FBSS,Fauquier Bankshares; Inc.,20.75,78148318,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fbss
FCRE,FC Global Realty Incorporated,1.008,5282250.624,n/a,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/fcre
FSAC,Federal Street Acquisition Corp.,9.7,111550000,n/a,2017,Finance,Business Services,http://www.nasdaq.com/symbol/fsac
FSACU,Federal Street Acquisition Corp.,10.2899,0,n/a,2017,Finance,Business Services,http://www.nasdaq.com/symbol/fsacu
FSACW,Federal Street Acquisition Corp.,1.1,0,n/a,2017,Finance,Business Services,http://www.nasdaq.com/symbol/fsacw
